spkid,full_name,pdes,name,class,H
20000976,   976 Benjamina (A922 FD),976,Benjamina,MBA,9.46
20001015,  1015 Christa (A924 CF),1015,Christa,OMB,9.46
20000050,    50 Virginia (A857 TA),50,Virginia,MBA,9.47
20000102,   102 Miriam (A868 QA),102,Miriam,MBA,9.47
20000205,   205 Martha (A879 TB),205,Martha,MBA,9.47
20000401,   401 Ottilia (A895 FA),401,Ottilia,OMB,9.47
20000785,   785 Zwetana (A914 FD),785,Zwetana,MBA,9.47
20000099,    99 Dike (A868 KA),99,Dike,MBA,9.48
20000500,   500 Selinur (A903 BJ),500,Selinur,MBA,9.48
20000543,   543 Charlotte (A904 RG),543,Charlotte,MBA,9.48
20003564,  3564 Talthybius (1985 TC1),3564,Talthybius,TJN,9.48
20000183,   183 Istria (A878 CD),183,Istria,MBA,9.49
20000318,   318 Magdalena (A891 SA),318,Magdalena,MBA,9.49
20000501,   501 Urhixidur (A903 BK),501,Urhixidur,MBA,9.49
20000577,   577 Rhea (A905 UR),577,Rhea,MBA,9.49
20000611,   611 Valeria (A906 SM),611,Valeria,MBA,9.49
20000670,   670 Ottegebe (A908 QG),670,Ottegebe,MBA,9.49
20001303,  1303 Luthera (1928 FP),1303,Luthera,OMB,9.49
20005264,  5264 Telephus (1991 KC),5264,Telephus,TJN,9.49
20007641,  7641 Cteatus (1986 TT6),7641,Cteatus,TJN,9.49
20000696,   696 Leonora (A916 BD),696,Leonora,MBA,9.5
20001031,  1031 Arctica (A924 LC),1031,Arctica,MBA,9.5
20001868,  1868 Thersites (2008 P-L),1868,Thersites,TJN,9.5
20000066,    66 Maja (A861 GA),66,Maja,MBA,9.51
20000576,   576 Emanuela (A905 SK),576,Emanuela,MBA,9.51
20000952,   952 Caia (A916 US),952,Caia,MBA,9.51
20001749,  1749 Telamon (1949 SB),1749,Telamon,TJN,9.51
20000323,   323 Brucia (A891 YB),323,Brucia,MBA,9.52
20000178,   178 Belisana (A877 VB),178,Belisana,MBA,9.53
20000513,   513 Centesima (A916 BC),513,Centesima,MBA,9.53
20000573,   573 Recha (A905 SG),573,Recha,MBA,9.53
20000781,   781 Kartvelia (A914 BK),781,Kartvelia,OMB,9.53
20001266,  1266 Tone (1927 BD),1266,Tone,OMB,9.53
20000242,   242 Kriemhild (A884 SA),242,Kriemhild,MBA,9.54
20000556,   556 Phyllis (A905 AD),556,Phyllis,MBA,9.54
20000586,   586 Thekla (A906 DK),586,Thekla,MBA,9.54
20000693,   693 Zerbinetta (A909 SD),693,Zerbinetta,MBA,9.54
20000803,   803 Picka (A915 FL),803,Picka,MBA,9.54
20000169,   169 Zelia (A876 SB),169,Zelia,MBA,9.55
20000983,   983 Gunila (A922 OD),983,Gunila,MBA,9.55
20000559,   559 Nanon (A905 EB),559,Nanon,MBA,9.56
20001512,  1512 Oulu (1939 FE),1512,Oulu,OMB,9.56
20006090,  6090 Aulis (1989 DJ),6090,Aulis,TJN,9.56
20000197,   197 Arete (A879 KA),197,Arete,MBA,9.57
20000261,   261 Prymno (A886 UA),261,Prymno,MBA,9.57
20000411,   411 Xanthe (A896 AD),411,Xanthe,MBA,9.57
20000578,   578 Happelia (A905 VJ),578,Happelia,MBA,9.57
20000680,   680 Genoveva (A909 HF),680,Genoveva,MBA,9.57
20000729,   729 Watsonia (A912 CE),729,Watsonia,MBA,9.57
20001107,  1107 Lictoria (1929 FB),1107,Lictoria,MBA,9.57
20004035,  4035 Thestor (1986 WD),4035,Thestor,TJN,9.57
20000697,   697 Galilea (A910 CL),697,Galilea,MBA,9.58
20000215,   215 Oenone (A880 GA),215,Oenone,MBA,9.59
20000376,   376 Geometria (A893 SC),376,Geometria,MBA,9.59
20000535,   535 Montague (A904 JE),535,Montague,MBA,9.59
20000984,   984 Gretia (A922 QD),984,Gretia,MBA,9.59
20004836,  4836 Medon (1989 CK1),4836,Medon,TJN,9.59
20000333,   333 Badenia (A892 QA),333,Badenia,MBA,9.6
20000348,   348 May (A892 WE),348,May,MBA,9.6
20000604,   604 Tekmessa (A906 DH),604,Tekmessa,MBA,9.6
20000648,   648 Pippa (A907 RN),648,Pippa,MBA,9.6
20001069,  1069 Planckia (1927 BC),1069,Planckia,MBA,9.6
20001162,  1162 Larissa (1930 AC),1162,Larissa,OMB,9.6
20000538,   538 Friederike (A904 OA),538,Friederike,MBA,9.61
20000924,   924 Toni (A919 UF),924,Toni,MBA,9.61
20000499,   499 Venusia (A902 YE),499,Venusia,OMB,9.62
20001212,  1212 Francette (1931 XC),1212,Francette,OMB,9.62
20000177,   177 Irma (A877 VA),177,Irma,MBA,9.63
20015440, 15440 Eioneus (1998 WX4),15440,Eioneus,TJN,9.63
20000329,   329 Svea (A892 FG),329,Svea,MBA,9.64
20000380,   380 Fiducia (A894 AB),380,Fiducia,MBA,9.64
20000414,   414 Liriope (A896 BB),414,Liriope,OMB,9.64
20000552,   552 Sigelinde (A904 XB),552,Sigelinde,MBA,9.64
20000727,   727 Nipponia (A912 CF),727,Nipponia,MBA,9.64
20000742,   742 Edisona (A913 DC),742,Edisona,MBA,9.64
20000893,   893 Leopoldina (A918 KD),893,Leopoldina,MBA,9.64
20004068,  4068 Menestheus (1973 SW),4068,Menestheus,TJN,9.64
20000222,   222 Lucia (A882 CA),222,Lucia,MBA,9.65
20000686,   686 Gersuind (A909 QA),686,Gersuind,MBA,9.65
20000787,   787 Moskva (A914 HC),787,Moskva,MBA,9.65
20000676,   676 Melitta (A909 BO),676,Melitta,MBA,9.66
20000978,   978 Aidamina (A922 KE),978,Aidamina,OMB,9.66
20004348,  4348 Poulydamas (1988 RU),4348,Poulydamas,TJN,9.66
20009799,  9799 Thronium (1996 RJ),9799,Thronium,TJN,9.66
20000987,   987 Wallia (A922 UB),987,Wallia,MBA,9.67
20001264,  1264 Letaba (1933 HG),1264,Letaba,MBA,9.67
20000417,   417 Suevia (A896 JB),417,Suevia,MBA,9.68
20000517,   517 Edith (A903 SK),517,Edith,MBA,9.68
20000534,   534 Nassovia (A904 HD),534,Nassovia,MBA,9.68
20000601,   601 Nerthus (A906 MC),601,Nerthus,MBA,9.68
20000677,   677 Aaltje (A909 BP),677,Aaltje,MBA,9.68
20001243,  1243 Pamela (1932 JE),1243,Pamela,MBA,9.68
20000484,   484 Pittsburghia (A902 HA),484,Pittsburghia,MBA,9.69
20000592,   592 Bathseba (A916 BB),592,Bathseba,MBA,9.69
20000598,   598 Octavia (A906 GC),598,Octavia,MBA,9.69
20000332,   332 Siri (A892 FH),332,Siri,MBA,9.7
20000720,   720 Bohlinia (A911 UL),720,Bohlinia,MBA,9.7
20000866,   866 Fatme (A917 DG),866,Fatme,MBA,9.7
20000972,   972 Cohnia (A922 BD),972,Cohnia,MBA,9.7
20001086,  1086 Nata (1927 QL),1086,Nata,MBA,9.7
20000764,   764 Gedania (A913 SF),764,Gedania,MBA,9.71
20000257,   257 Silesia (A886 GB),257,Silesia,MBA,9.72
20000731,   731 Sorga (A912 GH),731,Sorga,MBA,9.72
20000850,   850 Altona (A916 FG),850,Altona,MBA,9.72
20001048,  1048 Feodosia (A924 WQ),1048,Feodosia,MBA,9.72
20000231,   231 Vindobona (A882 RB),231,Vindobona,MBA,9.73
20000269,   269 Justitia (A887 SA),269,Justitia,MBA,9.73
20000424,   424 Gratia (A896 YD),424,Gratia,MBA,9.73
20000636,   636 Erika (A907 CE),636,Erika,MBA,9.73
20000718,   718 Erida (A911 SA),718,Erida,MBA,9.73
20001241,  1241 Dysona (1932 EB1),1241,Dysona,MBA,9.73
20000289,   289 Nenetta (A890 EA),289,Nenetta,MBA,9.74
20000392,   392 Wilhelmina (A894 VD),392,Wilhelmina,MBA,9.74
20000568,   568 Cheruskia (A905 OD),568,Cheruskia,MBA,9.74
20000546,   546 Herodias (A904 TD),546,Herodias,MBA,9.75
20000394,   394 Arduina (A894 WB),394,Arduina,MBA,9.76
20000464,   464 Megaira (A901 AB),464,Megaira,MBA,9.76
20000755,   755 Quintilla (A908 GC),755,Quintilla,MBA,9.76
20000798,   798 Ruth (A914 WH),798,Ruth,MBA,9.76
20000894,   894 Erda (A918 LA),894,Erda,MBA,9.76
20000943,   943 Begonia (A920 UA),943,Begonia,MBA,9.76
20001567,  1567 Alikoski (1941 HN),1567,Alikoski,OMB,9.76
20000136,   136 Austria (A874 FA),136,Austria,MBA,9.77
20000300,   300 Geraldina (A890 TB),300,Geraldina,OMB,9.77
20000418,   418 Alemannia (A896 RD),418,Alemannia,MBA,9.77
20000458,   458 Hercynia (A900 SD),458,Hercynia,MBA,9.77
20000510,   510 Mabella (A903 KA),510,Mabella,MBA,9.77
20000859,   859 Bouzareah (A916 TD),859,Bouzareah,OMB,9.77
